country,slug,visa_type,title,category,resource_status,source_org,source_type,url,official_page,local_path,notes
"Malaysia","malaysia","Visa requirement by nationality","Malaysian Immigration visa requirement by country","eligibility_checker","official_page","Immigration Department of Malaysia","government","https://www.imi.gov.my/index.php/en/main-services/visa/visa-requirement-by-country/","https://www.imi.gov.my/index.php/en/main-services/visa/visa-requirement-by-country/","","Official Immigration Department country list; Ethiopia appears among countries required to apply for a visa."
"South Africa","south-africa","Visitor / transit visa","South African Government apply for a visa","requirements_page","official_page","South African Government","government","https://www.gov.za/services/temporary-residence/visa","https://www.gov.za/services/temporary-residence/visa","","Official government page explaining visitor/transit visas, visa-exempt countries and warning that visas are not issued at South African ports of entry."
"Australia","australia","Visitor 600","Australia Visitor visa subclass 600","requirements_page","official_page","Australian Department of Home Affairs","government","https://immi.homeaffairs.gov.au/Visa-subsite/Pages/visit/600-visitor-landing.aspx","https://immi.homeaffairs.gov.au/Visa-subsite/Pages/visit/600-visitor-landing.aspx","","Official Visitor visa subclass 600 landing page."
"Australia","australia","Online application","Australia ImmiAccount online applications","online_application_portal","official_online_portal","Australian Department of Home Affairs","government","https://immi.homeaffairs.gov.au/help-support/tools/immiaccount","https://immi.homeaffairs.gov.au/help-support/tools/immiaccount","","Official ImmiAccount tool page for lodging and managing Australian online visa applications."
"Germany","germany","Schengen short-stay","European Commission applying for a Schengen visa","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official EU overview for Schengen short-stay visas, including where to apply, timing, common documents, fees and processing times. Country consulate/visa-center rules still control final submission."
"Germany","germany","Schengen short-stay application form","European Commission harmonised Schengen visa application form","application_form","downloadable_official_pdf","European Commission","government","https://home-affairs.ec.europa.eu/system/files/2020-02/schengen_visa_application_form_en.pdf","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official harmonised Schengen application form PDF. Some countries generate forms through their own portal; applicants should follow the appointment country instructions."
"France","france","Schengen short-stay","European Commission applying for a Schengen visa","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official EU overview for Schengen short-stay visas, including where to apply, timing, common documents, fees and processing times. Country consulate/visa-center rules still control final submission."
"France","france","Schengen short-stay application form","European Commission harmonised Schengen visa application form","application_form","downloadable_official_pdf","European Commission","government","https://home-affairs.ec.europa.eu/system/files/2020-02/schengen_visa_application_form_en.pdf","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official harmonised Schengen application form PDF. Some countries generate forms through their own portal; applicants should follow the appointment country instructions."
"Italy","italy","Schengen short-stay","European Commission applying for a Schengen visa","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official EU overview for Schengen short-stay visas, including where to apply, timing, common documents, fees and processing times. Country consulate/visa-center rules still control final submission."
"Italy","italy","Schengen short-stay application form","European Commission harmonised Schengen visa application form","application_form","downloadable_official_pdf","European Commission","government","https://home-affairs.ec.europa.eu/system/files/2020-02/schengen_visa_application_form_en.pdf","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official harmonised Schengen application form PDF. Some countries generate forms through their own portal; applicants should follow the appointment country instructions."
"Netherlands","netherlands","Schengen short-stay","European Commission applying for a Schengen visa","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official EU overview for Schengen short-stay visas, including where to apply, timing, common documents, fees and processing times. Country consulate/visa-center rules still control final submission."
"Netherlands","netherlands","Schengen short-stay application form","European Commission harmonised Schengen visa application form","application_form","downloadable_official_pdf","European Commission","government","https://home-affairs.ec.europa.eu/system/files/2020-02/schengen_visa_application_form_en.pdf","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official harmonised Schengen application form PDF. Some countries generate forms through their own portal; applicants should follow the appointment country instructions."
"Sweden","sweden","Schengen short-stay","European Commission applying for a Schengen visa","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official EU overview for Schengen short-stay visas, including where to apply, timing, common documents, fees and processing times. Country consulate/visa-center rules still control final submission."
"Sweden","sweden","Schengen short-stay application form","European Commission harmonised Schengen visa application form","application_form","downloadable_official_pdf","European Commission","government","https://home-affairs.ec.europa.eu/system/files/2020-02/schengen_visa_application_form_en.pdf","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official harmonised Schengen application form PDF. Some countries generate forms through their own portal; applicants should follow the appointment country instructions."
"Austria","austria","Schengen short-stay","European Commission applying for a Schengen visa","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official EU overview for Schengen short-stay visas, including where to apply, timing, common documents, fees and processing times. Country consulate/visa-center rules still control final submission."
"Austria","austria","Schengen short-stay application form","European Commission harmonised Schengen visa application form","application_form","downloadable_official_pdf","European Commission","government","https://home-affairs.ec.europa.eu/system/files/2020-02/schengen_visa_application_form_en.pdf","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official harmonised Schengen application form PDF. Some countries generate forms through their own portal; applicants should follow the appointment country instructions."
"Belgium","belgium","Schengen short-stay","European Commission applying for a Schengen visa","requirements_page","official_page","European Commission","government","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official EU overview for Schengen short-stay visas, including where to apply, timing, common documents, fees and processing times. Country consulate/visa-center rules still control final submission."
"Belgium","belgium","Schengen short-stay application form","European Commission harmonised Schengen visa application form","application_form","downloadable_official_pdf","European Commission","government","https://home-affairs.ec.europa.eu/system/files/2020-02/schengen_visa_application_form_en.pdf","https://home-affairs.ec.europa.eu/policies/schengen/visa-policy/applying-schengen-visa_en","","Official harmonised Schengen application form PDF. Some countries generate forms through their own portal; applicants should follow the appointment country instructions."
"Canada","canada","Visitor / business / family / transit","IRCC how to apply for a visitor visa","requirements_page","official_page","IRCC / Government of Canada","government","https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/apply-visitor-visa.html","https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/apply-visitor-visa.html","","Official IRCC instructions for visitor visa applications, including tourist, business, family visit, seafarer and online/paper exceptions."
"Canada","canada","Visitor / super visa / transit","IRCC Portal for online visitor visa applications","online_application_portal","official_online_portal","IRCC / Government of Canada","government","https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/portal-application-process.html","https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/portal-application-process.html","","Official IRCC Portal page for visitor visa, super visa and transit visa applications."
"Canada","canada","Study permit","IRCC study permit how to apply","requirements_page","official_page","IRCC / Government of Canada","government","https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/apply.html","https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/apply.html","","Official study permit application guidance, including online application, required documents, PAL/TAL notes and account steps."
"Canada","canada","Study permit","IMM 1294 Application for a Study Permit Made Outside of Canada","application_form","downloadable_official_pdf","IRCC / Government of Canada","government","https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm1294.html","https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/imm1294.html","","Official IRCC page for IMM 1294. Dynamic PDF should be downloaded and opened in Adobe Reader when required."
"Japan","japan","All visas","Japan MOFA visa information and downloadable forms","requirements_page","official_page","Ministry of Foreign Affairs of Japan","government","https://www.mofa.go.jp/j_info/visit/visa/index.html","https://www.mofa.go.jp/j_info/visit/visa/index.html","","Official Japan MOFA visa hub with procedures, fees, forms, guarantee letter, invitation letter and itinerary templates."
"Japan","japan","Short-term stay","Japan MOFA short-term stay visa documents","requirements_page","official_page","Ministry of Foreign Affairs of Japan","government","https://www.mofa.go.jp/j_info/visit/visa/short/other_visa.html","https://www.mofa.go.jp/j_info/visit/visa/short/other_visa.html","","Official MOFA document guidance for foreign nationals applying for short-term stay visas, excluding special country groups."
"Japan","japan","Fees","Japan MOFA visa fees","fee_page","official_page","Ministry of Foreign Affairs of Japan","government","https://www.mofa.go.jp/j_info/visit/visa/procedure/fee.html","https://www.mofa.go.jp/j_info/visit/visa/procedure/fee.html","","Official MOFA visa fee page; applicants should confirm local Addis Ababa embassy fee and accepted payment method."
"South Korea","south-korea","Visa issuance Ethiopia","Korean Embassy Ethiopia consular and visa notices","requirements_page","official_page","Embassy of the Republic of Korea in Ethiopia","embassy","https://www.mofa.go.kr/et-en/brd/m_23676/list.do","https://www.mofa.go.kr/et-en/brd/m_23676/list.do","","Official Korea Embassy Ethiopia visa notice list, including how to apply, fees and e-form guidance."
"South Korea","south-korea","Online visa form / status","Korea Visa Portal e-form and visa status","online_application_portal","official_online_portal","Korea Visa Portal","government","https://www.visa.go.kr/openPage.do?LANG_TYPE=EN&MENU_ID=10105","https://www.visa.go.kr/openPage.do?LANG_TYPE=EN&MENU_ID=10105","","Official Korea Visa Portal page for visa application e-form and visa grant/status functions."
"South Korea","south-korea","Visa application form","Korea visa application form PDF","application_form","downloadable_official_pdf","Republic of Korea MOFA","government","https://overseas.mofa.go.kr/upload/cntnts/mm-en/visa_application_form%2815.06.15.%29.pdf","https://www.visa.go.kr/openPage.do?LANG_TYPE=EN&MENU_ID=10105","","Official Korea visa application form PDF hosted by MOFA overseas site. Applicants may also use the Visa Portal e-form when instructed."
"Russia","russia","Unified online visa","Russian MFA unified online visa application portal","online_application_portal","official_online_portal","Consular Department of the Russian MFA","government","https://evisa.kdmid.ru/","https://evisa.kdmid.ru/","","Official Russian MFA unified online visa application portal. Check eligibility and purpose before relying on official visa route."
"Russia","russia","Visa application form","Russian visa application form portal","online_application_portal","official_online_portal","Consular Department of the Russian MFA","government","https://visa.kdmid.ru/","https://visa.kdmid.ru/","","Official Russian MFA visa application form portal for regular visa routes."
"Turkey","turkey","Visa information for foreigners","T?rkiye MFA visa information for foreigners","requirements_page","official_page","Republic of T?rkiye Ministry of Foreign Affairs","government","https://www.mfa.gov.tr/consular-info.en.mfa","https://www.mfa.gov.tr/consular-info.en.mfa","","Official T?rkiye MFA visa information page explaining online visa tourism/commerce scope and regular embassy/consulate visa routes for work, study and other purposes."
"Turkey","turkey","Sticker visa","T?rkiye MFA pre-application system for sticker visa","online_application_portal","official_online_portal","Republic of T?rkiye Ministry of Foreign Affairs","government","https://www.mfa.gov.tr/pre-application-system-for-turkish-sticker-visa.en.mfa","https://www.mfa.gov.tr/pre-application-system-for-turkish-sticker-visa.en.mfa","","Official information page for the Turkish sticker visa pre-application system."
"Turkey","turkey","Embassy / service agency","Turkish Embassy Addis Ababa contact and visa service agency note","requirements_page","official_page","Turkish Embassy in Addis Ababa","embassy","https://addisababa-be.mfa.gov.tr/Mission/Contact","https://addisababa-be.mfa.gov.tr/Mission/Contact","","Official Turkish Embassy Addis Ababa contact page; states visa applications can be made through Turkish Service Agency in Addis Ababa."
"Thailand","thailand","Thai official online visa","Thai official online visa official application manual","guide_pdf","downloadable_official_pdf","Thai official online visa / Ministry of Foreign Affairs","government","https://www.thaievisa.go.th/static/English-Manual.pdf","https://www.thaievisa.go.th/","","Official Thai official online visa application manual. Applicants should confirm whether the responsible mission accepts applications from Ethiopia."
"Thailand","thailand","Thai official online visa","Thai official online visa official portal","online_application_portal","official_online_portal","Thai official online visa / Ministry of Foreign Affairs","government","https://www.thaievisa.go.th/","https://www.thaievisa.go.th/","","Official Thai official online visa portal. Use only the official portal and follow the responsible embassy/consulate instructions."
"India","india","Regular visa","Indian Visa Online regular visa application","online_application_portal","official_online_portal","Bureau of Immigration / Government of India","government","https://indianvisaonline.gov.in/visa/Registration","https://indianvisaonline.gov.in/","","Official Government of India regular visa online application form for embassy/mission visa routes."
"India","india","online visa","Indian official visa portal","online_application_portal","official_online_portal","Bureau of Immigration / Government of India","government","https://indianvisaonline.gov.in/evisa/tvoa.html","https://indianvisaonline.gov.in/evisa/tvoa.html","","Official Government of India online visa portal. Use only indianvisaonline.gov.in and verify online visa eligibility by nationality/purpose."
"India","india","All visas","India Visa Online official hub","requirements_page","official_page","Bureau of Immigration / Government of India","government","https://indianvisaonline.gov.in/","https://indianvisaonline.gov.in/","","Official India visa hub for regular visa, online visa and related online arrival/card services."
"China","china","Visa center Addis Ababa","Chinese Embassy notice: Addis Ababa Visa Application Center accepts visa applications","requirements_page","official_page","Embassy of China in Ethiopia","embassy","https://et.china-embassy.gov.cn/eng/lsxx_1/hzqz/202303/t20230310_11039065.htm","https://et.china-embassy.gov.cn/eng/lsxx_1/hzqz/202303/t20230310_11039065.htm","","Official embassy notice that ordinary visa, Hong Kong visa, Macao visa and authentication applications are handled through the China Visa Application Center in Addis Ababa."
"China","china","Visa fees / FAQ","China Visa Application Service Center Addis Ababa FAQ and fee links","requirements_page","official_page","China Visa Application Service Center Addis Ababa","visa_center","https://www.visaforchina.cn/ADD3_EN/qianzhengyewu/jichuzhishi/changjianwenti","https://www.visaforchina.cn/ADD3_EN/qianzhengyewu/jichuzhishi/changjianwenti","","Official Addis Ababa China Visa Center FAQ page with visa categories, fees, sample form, downloads and practical application questions."
"China","china","Service fee notice","China Visa Center Addis Ababa service fee adjustment notice","fee_page","official_page","China Visa Application Service Center Addis Ababa","visa_center","https://bio.visaforchina.cn/ADD3_EN/tongzhigonggao/412244559754563584.html","https://bio.visaforchina.cn/ADD3_EN/tongzhigonggao/412244559754563584.html","","Official notice on China Visa Center Addis Ababa service fee levels for ordinary, express and urgent application services."
"Kenya","kenya","eTA FAQ","Kenya eTA official FAQ","requirements_page","official_page","Kenya Electronic Travel Authorization / Directorate of Immigration Services","government","https://evisa.go.ke/faqs","https://evisa.go.ke/faqs","","Official Kenya eTA FAQ; states applications must be completed through the official website or official Kenya Travel Authorisation mobile app."
"Kenya","kenya","eTA eligibility and fees","Kenya eTA eligibility and fee page","fee_page","official_page","Kenya Electronic Travel Authorization / Directorate of Immigration Services","government","https://evisa.go.ke/eligibility","https://evisa.go.ke/eligibility","","Official eTA eligibility and fee page with transit, standard, multi-entry and other eTA categories."
"Kenya","kenya","Arrival requirements","Kenya immigration arrival procedures","requirements_page","official_page","Kenya Directorate of Immigration Services","government","https://immigration.go.ke/arrival-procedures-and-the-responsibility-of-travelers-on-arrival/","https://immigration.go.ke/arrival-procedures-and-the-responsibility-of-travelers-on-arrival/","","Official arrival procedures including passport validity, biometrics, eTA if required, return/onward ticket and funds evidence."
"South Africa","south-africa","Embassy Addis Ababa","South African Embassy in Addis Ababa official website","requirements_page","official_page","South African Embassy in Addis Ababa / DIRCO","embassy","https://dirco.gov.za/ethiopia/","https://dirco.gov.za/ethiopia/","","Official South African Embassy Addis Ababa site; use for Ethiopia-specific embassy/visa and civic service contact route."
"South Africa","south-africa","Embassy contact","South African Government directory: Embassy in Ethiopia","contact_page","official_page","South African Government","government","https://www.gov.za/about-government/contact-directory/representatives-rsa/ethiopia-federal-democratic-republic-south","https://www.gov.za/about-government/contact-directory/representatives-rsa/ethiopia-federal-democratic-republic-south","","Official South African Government directory entry for the Embassy in Ethiopia."
"South Africa","south-africa","Visa requirements overview","South African Government home affairs visa requirements overview","requirements_page","official_page","South African Government","government","https://www.gov.za/about-government/government-system/home-affairs","https://www.gov.za/about-government/government-system/home-affairs","","Official government overview with visa requirements, passport/travel document requirements, work/business/study categories and minor travel notes."
"United Kingdom","united-kingdom","Work visa","GOV.UK Work in the UK visa routes","requirements_page","official_page","GOV.UK / UKVI","government","https://www.gov.uk/browse/visas-immigration/work-visas","https://www.gov.uk/browse/visas-immigration/work-visas","","Official GOV.UK index for work visa routes including Skilled Worker and other work categories."
"United Kingdom","united-kingdom","Business visa","GOV.UK Standard Visitor business activities","requirements_page","official_page","GOV.UK / UKVI","government","https://www.gov.uk/standard-visitor/visit-on-business","https://www.gov.uk/standard-visitor","","Official visitor rules for business meetings, conferences and permitted business activities."
"United Kingdom","united-kingdom","Medical visa","GOV.UK Standard Visitor medical treatment","requirements_page","official_page","GOV.UK / UKVI","government","https://www.gov.uk/standard-visitor/visit-for-medical-reasons","https://www.gov.uk/standard-visitor","","Official UK visitor route for private medical treatment."
"United States","united-states","Student visa","Travel.State.Gov Student Visa page","requirements_page","official_page","U.S. Department of State","government","https://travel.state.gov/content/travel/en/us-visas/study/student-visa.html","https://travel.state.gov/content/travel/en/us-visas/study.html","","Official F and M student visa guidance."
"United States","united-states","Business visa","Travel.State.Gov Visitor Visa B-1/B-2","requirements_page","official_page","U.S. Department of State","government","https://travel.state.gov/content/travel/en/us-visas/tourism-visit/visitor.html","https://travel.state.gov/content/travel/en/us-visas/tourism-visit.html","","Official visitor visa page covering business, tourism and medical treatment."
"United States","united-states","Work visa","Travel.State.Gov Temporary Worker Visas","requirements_page","official_page","U.S. Department of State","government","https://travel.state.gov/content/travel/en/us-visas/employment/temporary-worker-visas.html","https://travel.state.gov/content/travel/en/us-visas/employment.html","","Official temporary worker visa route overview."
"United States","united-states","Medical visa","Travel.State.Gov Visitor Visa for medical treatment","requirements_page","official_page","U.S. Department of State","government","https://travel.state.gov/content/travel/en/us-visas/tourism-visit/visitor.html","https://travel.state.gov/content/travel/en/us-visas/tourism-visit/visitor.html","","B-2 visitor visa page includes medical treatment as a visitor purpose."
"Canada","canada","Medical visa","Canada medical exam requirements for visitors, students and workers","requirements_page","official_page","IRCC / Canada.ca","government","https://www.canada.ca/en/immigration-refugees-citizenship/services/application/medical-police/medical-exams.html","https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada.html","","Official IRCC medical exam requirements connected to visitor, study and work applications."
"Canada","canada","Business visa","Canada business visitors","requirements_page","official_page","IRCC / Canada.ca","government","https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada/business.html","https://www.canada.ca/en/immigration-refugees-citizenship/services/visit-canada.html","","Official IRCC page for business visitors."
"Australia","australia","Student visa","Australia Student visa subclass 500","requirements_page","official_page","Department of Home Affairs Australia","government","https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/student-500","https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing","","Official Student visa subclass 500 page."
"Australia","australia","Work visa","Australia work visa options","requirements_page","official_page","Department of Home Affairs Australia","government","https://immi.homeaffairs.gov.au/visas/working-in-australia","https://immi.homeaffairs.gov.au/visas/working-in-australia","","Official work visa route finder and work visa options."
"Australia","australia","Medical visa","Australia Medical Treatment visa subclass 602","requirements_page","official_page","Department of Home Affairs Australia","government","https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing/medical-treatment-602","https://immi.homeaffairs.gov.au/visas/getting-a-visa/visa-listing","","Official Medical Treatment visa subclass 602 page."
"Germany","germany","Student visa","Germany national visa for studying","requirements_page","official_page","German Federal Foreign Office","government","https://www.germany.info/us-en/service/visa/residenconline visa/922288","https://www.germany.info/us-en/service/visa","","Official German mission residence visa page covering study and long stays."
"Germany","germany","Work visa","Make it in Germany work visa overview","requirements_page","official_page","Federal Government of Germany","government","https://www.make-it-in-germany.com/en/visa-residence/types/work-qualified-professionals","https://www.make-it-in-germany.com/en/visa-residence","","Official federal portal for skilled worker visa routes."
"Germany","germany","Business visa","Germany Schengen visa for business visits","requirements_page","official_page","German Federal Foreign Office","government","https://www.germany.info/us-en/service/visa/schengen-visa/963534","https://www.germany.info/us-en/service/visa","","Official Schengen visa guidance for short business visits."
"Germany","germany","Medical visa","Germany Schengen medical treatment visits","requirements_page","official_page","German Federal Foreign Office","government","https://tiflis.diplo.de/ge-de/service/visum/2723122-2723122","https://www.auswaertiges-amt.de/en/visa-service","","Official German mission information sheet covering business and medical treatment visits."
"France","france","Student visa","Franconline visas Student page","requirements_page","official_page","Franconline visas","government","https://www.franconline visas.gouv.fr/en/student","https://www.franconline visas.gouv.fr/","","Official Franconline visas student guidance."
"France","france","Work visa","Franconline visas professional purpose route","requirements_page","official_page","Franconline visas","government","https://www.franconline visas.gouv.fr/en/professional-purpose","https://www.franconline visas.gouv.fr/","","Official Franconline visas work/professional purpose guidance."
"France","france","Business visa","Franconline visas business travel route","requirements_page","official_page","Franconline visas","government","https://www.franconline visas.gouv.fr/en/business-travel","https://www.franconline visas.gouv.fr/","","Official Franconline visas business travel guidance."
"France","france","Medical visa","Franconline visas medical care route","requirements_page","official_page","Franconline visas","government","https://www.franconline visas.gouv.fr/en/medical-care","https://www.franconline visas.gouv.fr/","","Official Franconline visas medical care guidance."
"Italy","italy","Student visa","Visto per Italia visa database - study","requirements_page","official_page","Italian Ministry of Foreign Affairs","government","https://vistoperitalia.esteri.it/","https://vistoperitalia.esteri.it/","","Official Italian visa database; select Study/long stay for student requirements."
"Italy","italy","Work visa","Visto per Italia visa database - work","requirements_page","official_page","Italian Ministry of Foreign Affairs","government","https://vistoperitalia.esteri.it/","https://vistoperitalia.esteri.it/","","Official Italian visa database; select Work/subordinate or self-employment route."
"Italy","italy","Business visa","Visto per Italia visa database - business","requirements_page","official_page","Italian Ministry of Foreign Affairs","government","https://vistoperitalia.esteri.it/","https://vistoperitalia.esteri.it/","","Official Italian visa database; select Business for short-stay business requirements."
"Italy","italy","Medical visa","Visto per Italia visa database - medical treatment","requirements_page","official_page","Italian Ministry of Foreign Affairs","government","https://vistoperitalia.esteri.it/","https://vistoperitalia.esteri.it/","","Official Italian visa database; select Medical Treatment for requirements."
"Netherlands","netherlands","Student visa","IND Study residence permits","requirements_page","official_page","Immigration and Naturalisation Service (IND)","government","https://ind.nl/en/residence-permits/study","https://ind.nl/en","","Official IND study residence permit guidance."
"Netherlands","netherlands","Work visa","IND Work residence permits","requirements_page","official_page","Immigration and Naturalisation Service (IND)","government","https://ind.nl/en/residence-permits/work","https://ind.nl/en","","Official IND work residence permit guidance."
"Netherlands","netherlands","Medical visa","NetherlandsWorldwide visa for medical reasons","requirements_page","official_page","Netherlands Worldwide / Dutch government","government","https://www.netherlandsworldwide.nl/visa-the-netherlands/medical-reasons","https://www.netherlandsworldwide.nl/visa-the-netherlands","","Official Dutch government medical reasons visa guidance."
"Sweden","sweden","Student visa","Swedish Migration Agency higher education permit","requirements_page","official_page","Swedish Migration Agency","government","https://www.migrationsverket.se/en/you-want-to-apply/study/higher-education.html","https://www.migrationsverket.se/en/you-want-to-apply/study.html","","Official Swedish residence permit for higher education."
"Sweden","sweden","Work visa","Swedish Migration Agency employee or self-employed permit","requirements_page","official_page","Swedish Migration Agency","government","https://www.migrationsverket.se/en/you-want-to-apply/work/employee-or-self-employed.html","https://www.migrationsverket.se/en/you-want-to-apply/work.html","","Official Swedish work permit routes."
"Sweden","sweden","Business visa","Sweden business visit Schengen visa","requirements_page","official_page","Swedish Migration Agency","government","https://www.migrationsverket.se/en/you-want-to-apply/visit-sweden/business-or-conference.html","https://www.migrationsverket.se/en/you-want-to-apply/visit-sweden.html","","Official Swedish business/conference visit guidance."
"Sweden","sweden","Medical visa","Swedish medical treatment visa questionnaire","downloadable_pdf","official_pdf","Swedish Migration Agency","government","https://www.migrationsverket.se/download/18.5e83388f141c129ba6312932/1661931151630/219011_blvisa_en.pdf","https://www.migrationsverket.se/en/you-want-to-apply/visit-sweden.html","","Official Swedish Migration Agency questionnaire for visa because of medical treatment."
"Austria","austria","Student visa","Austria residence permit for students","requirements_page","official_page","City of Vienna / Austrian authorities","government","https://www.wien.gv.at/english/e-government/immigration/residence-permit/student.html","https://www.bmeia.gv.at/en/entry-and-residence","","Official Austrian local authority page for student residence permit."
"Austria","austria","Work visa","Austria migration work and residence routes","requirements_page","official_page","Austrian Federal Government migration portal","government","https://www.migration.gv.at/en/types-of-immigration/permanent-immigration/","https://www.migration.gv.at/en/","","Official migration portal for work/residence routes including Red-White-Red Card."
"Austria","austria","Business visa","Austrian MFA Schengen business visa information","requirements_page","official_page","Austrian Federal Ministry for European and International Affairs","government","https://www.bmeia.gv.at/en/entry-and-residence/visa","https://www.bmeia.gv.at/en/entry-and-residence","","Official Austrian visa page covering Schengen business visits and temporary work visa."
"Austria","austria","Medical visa","Austrian MFA Schengen medical treatment visa information","requirements_page","official_page","Austrian Federal Ministry for European and International Affairs","government","https://www.bmeia.gv.at/en/entry-and-residence/visa","https://www.bmeia.gv.at/en/entry-and-residence","","Official Austrian visa page; medical treatment is handled through Schengen/mission requirements."
"Belgium","belgium","Student visa","Belgium Immigration Office student visa","requirements_page","official_page","Belgian Immigration Office","government","https://dofi.ibz.be/en/themes/third-country-nationals/study","https://dofi.ibz.be/en","","Official Belgian Immigration Office study route."
"Belgium","belgium","Work visa","Belgium Immigration Office work route","requirements_page","official_page","Belgian Immigration Office","government","https://dofi.ibz.be/en/themes/third-country-nationals/work","https://dofi.ibz.be/en","","Official Belgian Immigration Office work route guidance."
"Belgium","belgium","Business visa","Belgium short-stay business visa","requirements_page","official_page","Belgian Immigration Office","government","https://dofi.ibz.be/en/themes/third-country-nationals/short-stay","https://dofi.ibz.be/en","","Official Belgian short-stay visa guidance for business/visit purposes."
"Belgium","belgium","Medical visa","Belgium medical certificate for visa applications","requirements_page","official_page","Belgian Immigration Office","government","https://dofi.ibz.be/en/themes/third-country-nationals/medical-certificate","https://dofi.ibz.be/en","","Official Belgian Immigration Office medical certificate guidance used in visa/residence files."
"India","india","Student visa","Indian regular visa application - student visa route","online_application_portal","official_online_portal","Government of India","government","https://indianvisaonline.gov.in/visa/index.html","https://indianvisaonline.gov.in/","","Official regular visa portal used for student and employment visa applications."
"India","india","Business visa","India e-Business Visa official portal","online_application_portal","official_online_portal","Government of India","government","https://indianvisaonline.gov.in/evisa/","https://indianvisaonline.gov.in/evisa/","","Official online visa portal covering e-Business Visa."
"India","india","Work visa","India Employment Visa FAQ","downloadable_pdf","official_pdf","Ministry of Home Affairs India","government","https://www.mha.gov.in/sites/default/files/ForeigD-work_visa_faq.pdf","https://www.mha.gov.in/","","Official MHA FAQ on work-related visas issued by India."
"India","india","Medical visa","India e-Medical Visa official portal","online_application_portal","official_online_portal","Government of India","government","https://indianvisaonline.gov.in/evisa/","https://indianvisaonline.gov.in/evisa/","","Official online visa portal covering e-Medical and e-Medical Attendant visas."
"Japan","japan","Student visa","Study in Japan immigration and student visas","requirements_page","official_page","Study in Japan / Japanese government","government","https://studyinjapan.go.jp/en/planning/immigration-procedures/","https://studyinjapan.go.jp/en/","","Official Study in Japan guidance for immigration and student status."
"Japan","japan","Work visa","MOFA Japan working visa","requirements_page","official_page","Ministry of Foreign Affairs of Japan","government","https://www.mofa.go.jp/j_info/visit/visa/long/visa1.html","https://www.mofa.go.jp/j_info/visit/visa/long/index.html","","Official MOFA working visa page."
"Japan","japan","Business visa","MOFA Japan short-term stay visa information","requirements_page","official_page","Ministry of Foreign Affairs of Japan","government","https://www.mofa.go.jp/j_info/visit/visa/short/other_visa.html","https://www.mofa.go.jp/j_info/visit/visa/index.html","","Official MOFA short-term stay/business visa information."
